index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.7225,0.75,0.745,0.71,0.7283333333333334,0.75
macro_f1,0.5469341523893101,0.5925223320399691,0.5977759375369691,0.5564826182819225,0.511,0.6069113716172541
weighted_f1,0.6630379391626445,0.696803790447818,0.697953192160574,0.6639012961413139,0.6452033333333332,0.7045436677789619
