index,0,1,2,3,4,5
dataset,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation
lang,btk,sun,jav,mad,mak,min
accuracy,0.5741666666666667,0.6283333333333333,0.6066666666666667,0.6041666666666666,0.5583333333333333,0.6766666666666666
macro_f1,0.5479472959035857,0.6075739978179002,0.5885204170589671,0.5772112408405041,0.53761730416348,0.6431024332810047
weighted_f1,0.5927651822598556,0.6447301997911754,0.6240928270042194,0.6211583707353039,0.5779075341237461,0.6881587683150182
