index,0,1,2,3
dataset,americasnli,americasnli,americasnli,americasnli
lang,aym,gn,oto,quy
accuracy,0.32,0.332,0.3502673796791444,0.32133333333333336
macro_f1,0.24726931049310616,0.1663326653306613,0.2825916946984828,0.268936947856584
weighted_f1,0.2472693104931062,0.1663326653306613,0.2827893843795797,0.268936947856584
