index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.6058333333333333,0.6141666666666666,0.6508333333333334,0.6133333333333333,0.6216666666666667,0.6341666666666667
macro_f1,0.5296305411983483,0.5327161755392562,0.5642131264761326,0.517856957303324,0.5063428778542951,0.5523571353915728
weighted_f1,0.607568800649037,0.6130286358525112,0.6441951492564262,0.606181544866666,0.604566932463453,0.6311366840268484
