index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.3466666666666667,0.324,0.332,0.32666666666666666,0.312,0.3509485094850949,0.32219251336898397,0.3506666666666667,0.32666666666666666,0.344
macro_f1,0.3243032184115952,0.2866124706775781,0.304256637429737,0.29916401467597054,0.2915055073690994,0.3273297623142825,0.2964938839323092,0.3298538355711344,0.30281867021285147,0.3174533350422883
weighted_f1,0.32430321841159515,0.2866124706775781,0.304256637429737,0.29916401467597054,0.2915055073690994,0.3270263841760733,0.29634345930289113,0.32985383557113446,0.3028186702128515,0.31745333504228823
