index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.47,0.5091666666666667,0.5408333333333334,0.46416666666666667,0.4716666666666667,0.5633333333333334
macro_f1,0.469905761024182,0.5077223102505616,0.5387316795482752,0.463412089918114,0.47119073833116476,0.5576516140651029
weighted_f1,0.4728153894025604,0.5186994190129605,0.5515491730028275,0.47169566578000305,0.4777215327127749,0.5782896237599989
