index,0,1,2,3
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,gn,oto,quy
accuracy,0.34,0.3453333333333333,0.33689839572192515,0.3373333333333333
macro_f1,0.3281274984766045,0.31682395405816927,0.2980887853817608,0.3288758217481794
weighted_f1,0.3281274984766045,0.31682395405816927,0.2980536996529004,0.3288758217481794
