index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.34,0.3586666666666667,0.36,0.3466666666666667,0.328,0.32926829268292684,0.339572192513369,0.36533333333333334,0.32133333333333336,0.336
macro_f1,0.3141810131746015,0.3389804127878377,0.3195965522236709,0.3261036318273603,0.299432106856869,0.2955414997605654,0.314102961371283,0.3534047499890205,0.29508645656784555,0.31005072715640786
weighted_f1,0.31418101317460156,0.33898041278783764,0.3195965522236709,0.3261036318273603,0.29943210685686894,0.2951792975546724,0.3139155416949555,0.3534047499890205,0.29508645656784555,0.31005072715640786
