index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.33466666666666667,0.3373333333333333,0.3333333333333333,0.3333333333333333,0.336,0.3319783197831978,0.3342245989304813,0.3333333333333333,0.33066666666666666,0.33466666666666667
macro_f1,0.185252014916396,0.17767462699008085,0.16897816797616394,0.16897816797616394,0.1935884299402473,0.18038054793529754,0.20512980097644637,0.1907629350985138,0.17078477078477075,0.17206292902420603
weighted_f1,0.185252014916396,0.17767462699008085,0.16897816797616394,0.16897816797616394,0.1935884299402473,0.1804412201838111,0.20502050528446797,0.19076293509851378,0.17078477078477078,0.172062929024206
