index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.3625,0.37583333333333335,0.36916666666666664,0.3575,0.3416666666666667,0.4075
macro_f1,0.35021500238891545,0.36258528825853453,0.3531199996581876,0.3422020872925985,0.3291364259106195,0.40078841411897564
weighted_f1,0.313434464086638,0.32475561041488926,0.3111779176360253,0.3009060824977551,0.2913928958283797,0.37468193045577863
