index,0,1,2,3,4,5,6,7,8
dataset,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews
lang,amh,hau,ibo,lug,pcm,sna,swa,xho,yor
accuracy,0.2898936170212766,0.36106750392464676,0.4461538461538462,0.26905829596412556,0.5868852459016394,0.43902439024390244,0.49789915966386555,0.21212121212121213,0.5255474452554745
macro_f1,0.25981463909501545,0.3519606374843733,0.44842582207473963,0.20830089395991788,0.5433919833123713,0.44557987134745664,0.40710183256243054,0.18931729119160515,0.49531280606752315
weighted_f1,0.2586743745547586,0.36127183023818077,0.4371666177230452,0.26334669954646395,0.5906934043615266,0.44305836838059864,0.46179607896502567,0.2317471845065142,0.47619829481831966
