index,0,1,2,3,4,5,6,7,8
dataset,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews
lang,amh,hau,ibo,lug,pcm,sna,swa,xho,yor
accuracy,0.2473404255319149,0.17582417582417584,0.18717948717948718,0.15695067264573992,0.8,0.3062330623306233,0.11764705882352941,0.24579124579124578,0.2725060827250608
macro_f1,0.17230062956974143,0.08804891004954808,0.12925098624560064,0.1523453135435963,0.7699139912474899,0.2132263508135129,0.10061002630939563,0.12711864406779663,0.15088763746133355
weighted_f1,0.17744718754223157,0.09423229784829126,0.1361530670297845,0.12414689335565368,0.8244219062049011,0.2133895029528829,0.1138123388181499,0.17748102493865212,0.1720913212077398
