index,0,1,2,3,4,5,6
dataset,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti
lang,arb,fra,deu,hin,ita,por,spa
accuracy,0.34942528735632183,0.3528735632183908,0.31494252873563217,0.3586206896551724,0.38620689655172413,0.39425287356321836,0.4011494252873563
macro_f1,0.31137097737128,0.2297469754943571,0.26853790078610457,0.28543790138019337,0.3007987821390148,0.3053575151136127,0.3223790635173236
weighted_f1,0.31137097737128,0.2297469754943571,0.26853790078610457,0.28543790138019337,0.3007987821390148,0.3053575151136127,0.3223790635173236
