index,0,1,2,3,4,5,6
dataset,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti
lang,arb,fra,deu,hin,ita,por,spa
accuracy,0.4298850574712644,0.3816091954022989,0.5091954022988506,0.4068965517241379,0.4494252873563218,0.4885057471264368,0.5264367816091954
macro_f1,0.3816469372620898,0.30932277911345835,0.43922263128130606,0.3300134074840586,0.38086435029384197,0.4380793501988367,0.4923803255921488
weighted_f1,0.38164693726208976,0.30932277911345835,0.43922263128130606,0.3300134074840586,0.38086435029384197,0.4380793501988367,0.4923803255921487
