index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.328,0.376,0.356,0.35733333333333334,0.34933333333333333,0.34688346883468835,0.3422459893048128,0.38133333333333336,0.388,0.3546666666666667
macro_f1,0.29604020500572226,0.3485498342643923,0.32715933766114064,0.32692476127050046,0.33258880393908935,0.3125636515227665,0.3218699516147128,0.35628260827982383,0.36662673537448587,0.3357762689684063
weighted_f1,0.29604020500572226,0.3485498342643923,0.3271593376611406,0.3269247612705005,0.3325888039390894,0.3122993667069225,0.3218989467090897,0.3562826082798238,0.36662673537448587,0.3357762689684063
