index,0,1,2,3,4,5,6,7,8
dataset,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews
lang,amh,hau,ibo,lug,pcm,sna,swa,xho,yor
accuracy,0.6914893617021277,0.5023547880690737,0.4358974358974359,0.3632286995515695,0.8754098360655738,0.2682926829268293,0.726890756302521,0.4713804713804714,0.40145985401459855
macro_f1,0.6838890029191753,0.47537002107537096,0.392345512111908,0.3406101571063208,0.8340249212492459,0.18776820758264784,0.6575992281468849,0.39213998335778194,0.40502342490812715
weighted_f1,0.6892670145318257,0.49254598882143863,0.41241632747781104,0.36965418259329474,0.8738204784548728,0.18729373170793331,0.7145099420800254,0.44010443542059463,0.40477861584827357
