index,0,1,2,3,4,5,6,7,8
dataset,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews
lang,amh,hau,ibo,lug,pcm,sna,swa,xho,yor
accuracy,0.25,0.5227629513343799,0.7487179487179487,0.5336322869955157,0.7475409836065574,0.5284552845528455,0.38445378151260506,0.3939393939393939,0.6666666666666666
macro_f1,0.16126110843584468,0.49062178598819034,0.7147180389268476,0.42111662758950147,0.6250213415276706,0.50017823150251,0.38776624102453244,0.31783163615161253,0.6512910299844428
weighted_f1,0.15349888368427964,0.5077610498894539,0.7472614627583912,0.5096315561113247,0.7499966489898011,0.49195198097844167,0.47136540309680003,0.42992848622983043,0.6615048673822738
