index,0,1,2,3,4,5,6,7,8
dataset,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews
lang,amh,hau,ibo,lug,pcm,sna,swa,xho,yor
accuracy,0.7207446808510638,0.48822605965463106,0.5794871794871795,0.5291479820627802,0.9049180327868852,0.36314363143631434,0.6869747899159664,0.43097643097643096,0.4209245742092457
macro_f1,0.7122019405636397,0.47631978707078904,0.5316001800567904,0.43878630577184524,0.866856286516728,0.2572872236718334,0.5916835155222849,0.35765682337464516,0.40443925351112553
weighted_f1,0.7177396401838825,0.49032031695603095,0.5837613657110992,0.5186623791147003,0.9038318674901936,0.2531264474174468,0.6676808555445921,0.3841200553621796,0.41243679901697045
