index,0,1,2,3,4,5
dataset,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation
lang,btk,sun,jav,mad,mak,min
accuracy,0.5358333333333334,0.6133333333333333,0.5958333333333333,0.5616666666666666,0.5233333333333333,0.63
macro_f1,0.5289557603199493,0.6013563049853372,0.5802800873190499,0.5537330316742082,0.5165638848430383,0.6151134432899131
weighted_f1,0.5523869401034784,0.6298017473118279,0.6135411415660457,0.5782281297134239,0.5401139380416706,0.6462742865728914
