index,0,1,2,3
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,gn,oto,quy
accuracy,0.3333333333333333,0.3333333333333333,0.33689839572192515,0.3373333333333333
macro_f1,0.16666666666666666,0.16683350016683351,0.22071016305659796,0.17982387982387982
weighted_f1,0.16666666666666666,0.16683350016683351,0.22064865053269975,0.17982387982387982
