index,0,1,2,3,4,5,6,7,8
dataset,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews
lang,amh,hau,ibo,lug,pcm,sna,swa,xho,yor
accuracy,0.26063829787234044,0.21350078492935637,0.2153846153846154,0.21973094170403587,0.8426229508196721,0.3008130081300813,0.1722689075630252,0.0707070707070707,0.2141119221411192
macro_f1,0.1803889626025849,0.1499992092764035,0.16542562415849085,0.10120551801801803,0.7932308335710992,0.1696368976104659,0.15909710401269456,0.04254289880815325,0.13144263004763906
weighted_f1,0.1728681972975827,0.15244135542997997,0.17215405254735203,0.11830553367268613,0.8510868582182646,0.1733766156243861,0.17180980072423557,0.018535740617251096,0.1306640397270356
