index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.336,0.3373333333333333,0.3373333333333333,0.33466666666666667,0.332,0.33604336043360433,0.3382352941176471,0.3373333333333333,0.33066666666666666,0.3293333333333333
macro_f1,0.1838053756633129,0.18272581779965566,0.18006407680975778,0.1811392930759237,0.1761166532740137,0.2036227177599769,0.18905261643354623,0.19044043567803506,0.17765180146132528,0.17452989815790318
weighted_f1,0.18380537566331293,0.18272581779965563,0.1800640768097578,0.18113929307592366,0.1761166532740137,0.20346811889855207,0.1888105248707876,0.19044043567803506,0.17765180146132528,0.17452989815790315
