index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.31866666666666665,0.304,0.328,0.35733333333333334,0.332,0.34959349593495936,0.339572192513369,0.37466666666666665,0.37866666666666665,0.348
macro_f1,0.3007460449950456,0.2928503211289117,0.31016560124214826,0.348524239319949,0.3087507133077128,0.31560584795160684,0.3296532730565626,0.3543444654864068,0.365547826149674,0.3389495300413208
weighted_f1,0.3007460449950456,0.2928503211289117,0.31016560124214826,0.348524239319949,0.30875071330771275,0.3157817830317642,0.32973657055113265,0.35434446548640686,0.365547826149674,0.3389495300413207
