index,0,1,2,3,4,5
dataset,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation
lang,btk,sun,jav,mad,mak,min
accuracy,0.45416666666666666,0.5333333333333333,0.5608333333333333,0.4816666666666667,0.4533333333333333,0.6008333333333333
macro_f1,0.45332805672034393,0.5304521354645589,0.5501413810887232,0.4764309764309764,0.453035541572634,0.5837651010064804
weighted_f1,0.46214238253914053,0.5455937497962031,0.5786917832986549,0.4979845679012345,0.4582894390649723,0.6184634827738277
