index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.6858333333333333,0.7083333333333334,0.71,0.6825,0.6875,0.7266666666666667
macro_f1,0.542919033825406,0.5525898655212966,0.5820254948433796,0.5329732910162734,0.5124799710521442,0.6121770112405607
weighted_f1,0.6481346283960708,0.661258330350599,0.6772354429568893,0.6417600277437563,0.6327301717478893,0.6989222409652485
