index,0,1,2,3,4,5,6
dataset,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti
lang,arb,fra,deu,hin,ita,por,spa
accuracy,0.4298850574712644,0.4528735632183908,0.4793103448275862,0.38045977011494253,0.4218390804597701,0.506896551724138,0.49310344827586206
macro_f1,0.4258587176395396,0.44077331321961166,0.4593990363723924,0.35393434762769904,0.38729834390770385,0.45681123282146757,0.44488378635743325
weighted_f1,0.4258587176395396,0.44077331321961166,0.4593990363723924,0.353934347627699,0.3872983439077038,0.45681123282146757,0.44488378635743325
