index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.3413333333333333,0.31466666666666665,0.328,0.3453333333333333,0.28933333333333333,0.34959349593495936,0.339572192513369,0.32266666666666666,0.336,0.32666666666666666
macro_f1,0.3299575290674273,0.30685743683162975,0.3079950118573744,0.33400415993580607,0.2802128490906168,0.3270697846040312,0.3330020846018679,0.30642134765985873,0.32246216564428976,0.31639732589626346
weighted_f1,0.32995752906742737,0.30685743683162975,0.3079950118573744,0.33400415993580607,0.2802128490906168,0.32676319567955603,0.33296729136601794,0.30642134765985873,0.32246216564428976,0.31639732589626346
