index,0,1,2,3,4,5,6
dataset,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti
lang,arb,fra,deu,hin,ita,por,spa
accuracy,0.5022988505747127,0.5540229885057472,0.5252873563218391,0.42873563218390803,0.4781609195402299,0.6229885057471264,0.5655172413793104
macro_f1,0.5053660337718803,0.5574398906033587,0.5128042463168038,0.41782912958079255,0.4742680700680662,0.6115579470119237,0.5665386718928035
weighted_f1,0.5053660337718803,0.5574398906033589,0.5128042463168038,0.41782912958079255,0.47426807006806626,0.6115579470119238,0.5665386718928034
