index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.455,0.43916666666666665,0.4816666666666667,0.47333333333333333,0.44333333333333336,0.5208333333333334
macro_f1,0.45487734740316577,0.43780764473007316,0.48164362860571586,0.4732967567192166,0.44325755450047366,0.5189542483660131
weighted_f1,0.4582434797829512,0.42642871529486676,0.48306622886943124,0.4751036414565827,0.4459314647456644,0.5313311546840959
