index,0,1,2,3,4,5,6,7,8
dataset,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews
lang,amh,hau,ibo,lug,pcm,sna,swa,xho,yor
accuracy,0.31648936170212766,0.45839874411302983,0.6871794871794872,0.48878923766816146,0.8065573770491803,0.5392953929539296,0.680672268907563,0.1919191919191919,0.6909975669099757
macro_f1,0.23355578777573663,0.43732143365790205,0.6454567959695434,0.4091732620126266,0.774001947388039,0.5197937447052715,0.6203748648069894,0.16816158023357325,0.6961617618150608
weighted_f1,0.24050493773517118,0.448261451147782,0.6816304099241002,0.487383995544006,0.8259253249759796,0.5139979556364671,0.6842760428428317,0.20834035829320843,0.6865837794664293
