index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.372,0.3413333333333333,0.348,0.3293333333333333,0.35333333333333333,0.3252032520325203,0.30614973262032086,0.3453333333333333,0.3293333333333333,0.356
macro_f1,0.3699118161941614,0.34121270459977465,0.3428491822648933,0.32935294245244134,0.34908687113411524,0.32383740056542326,0.3058033581138315,0.343414419104164,0.32803672632813924,0.35495921987565043
weighted_f1,0.3699118161941614,0.34121270459977465,0.3428491822648933,0.3293529424524414,0.3490868711341152,0.3238090952800546,0.30577009484344647,0.343414419104164,0.3280367263281393,0.35495921987565043
