index,0,1,2,3,4,5
dataset,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation
lang,btk,sun,jav,mad,mak,min
accuracy,0.7066666666666667,0.72,0.7191666666666666,0.7041666666666667,0.7091666666666666,0.7366666666666667
macro_f1,0.48821339950372206,0.5257452574525745,0.5251910565907919,0.4621042330881656,0.4733340794853061,0.5722330517652154
weighted_f1,0.6258612489660875,0.6506955736224029,0.6501245003684739,0.610649378663047,0.6184166424586462,0.681413435853007
