index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.7041666666666667,0.7158333333333333,0.7166666666666667,0.6991666666666667,0.6933333333333334,0.7225
macro_f1,0.5153578104184419,0.5160597900323928,0.5544995544995546,0.5104946467414333,0.46290701577710636,0.5883701166593701
weighted_f1,0.639885947917271,0.6440599591512833,0.6651494901494902,0.6356006572690377,0.6077296631979411,0.6851002807035615
