index,0,1,2,3
dataset,americasnli,americasnli,americasnli,americasnli
lang,aym,gn,oto,quy
accuracy,0.33866666666666667,0.332,0.32620320855614976,0.33866666666666667
macro_f1,0.24614197530864199,0.17864798724550202,0.22741916166488038,0.26637595796719116
weighted_f1,0.24614197530864196,0.17864798724550202,0.2277547150167252,0.2663759579671912
