index,0,1,2,3
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,gn,oto,quy
accuracy,0.332,0.31466666666666665,0.3195187165775401,0.3293333333333333
macro_f1,0.31506686149369273,0.30496679764972445,0.31121225087848964,0.29786553880256267
weighted_f1,0.31506686149369273,0.3049667976497245,0.3111637646709348,0.2978655388025626
