index,0,1,2,3
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,gn,oto,quy
accuracy,0.348,0.33866666666666667,0.3355614973262032,0.3
macro_f1,0.27851171304065386,0.18292669164400768,0.2003605303910182,0.24002089008130745
weighted_f1,0.2785117130406539,0.1829266916440077,0.20074719189227797,0.24002089008130748
