index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.5358333333333334,0.5775,0.6091666666666666,0.5633333333333334,0.5275,0.5475
macro_f1,0.5264407459337598,0.5693581780538302,0.5912851062346451,0.549537932516656,0.5102834008097166,0.5447657492816227
weighted_f1,0.5538960014094363,0.5937342995169081,0.6264782968857155,0.5819899706282685,0.5480834008097165,0.559289618688917
