index,0,1,2,3,4,5
dataset,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation
lang,btk,sun,jav,mad,mak,min
accuracy,0.7041666666666667,0.6908333333333333,0.7008333333333333,0.7008333333333333,0.7108333333333333,0.6566666666666666
macro_f1,0.48869303458283464,0.5206589324648059,0.5030861029054698,0.4625741798580088,0.43939954898859007,0.5520115984052193
weighted_f1,0.6253348500506305,0.6382339730648794,0.6321311911899673,0.6098833435836788,0.5999843267925459,0.6411488462003141
