index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.332,0.3293333333333333,0.332,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3342245989304813,0.33466666666666667,0.336,0.33066666666666666
macro_f1,0.1663326653306613,0.19293797939230686,0.1663326653306613,0.1671681711802073,0.16666666666666666,0.16683621566632756,0.1671681711802073,0.1724300730698456,0.1722916732936773,0.17511575234525434
weighted_f1,0.1663326653306613,0.19293797939230692,0.1663326653306613,0.1671681711802073,0.16666666666666666,0.16751441166497116,0.16761514489994048,0.17243007306984562,0.17229167329367734,0.17511575234525434
