index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.6508333333333334,0.7375,0.6883333333333334,0.6566666666666666,0.6083333333333333,0.7483333333333333
macro_f1,0.6002134103434047,0.6741825904897518,0.6438728353054695,0.6016385675747975,0.553656220322887,0.7075759140673414
weighted_f1,0.6587760378774206,0.7333107574048041,0.6956735098945372,0.662588973295388,0.6179669199113644,0.7525182469186807
