index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.3466666666666667,0.332,0.35733333333333334,0.3413333333333333,0.32133333333333336,0.3699186991869919,0.3422459893048128,0.3506666666666667,0.328,0.328
macro_f1,0.34386376610761243,0.3217306920401577,0.3560957558239804,0.3414496544349866,0.31250012407384603,0.35286873565850674,0.3394628430841033,0.3382745855464349,0.3264057322189897,0.32367262367262367
weighted_f1,0.34386376610761243,0.3217306920401577,0.35609575582398045,0.3414496544349866,0.3125001240738461,0.35300174108809723,0.33952456825420657,0.33827458554643486,0.3264057322189897,0.3236726236726236
