index,0,1,2,3
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,gn,oto,quy
accuracy,0.34,0.308,0.3342245989304813,0.336
macro_f1,0.26889989181608276,0.25476090828513737,0.1671681711802073,0.1722916732936773
weighted_f1,0.2688998918160827,0.2547609082851373,0.16761514489994048,0.17229167329367734
