index,0,1,2,3,4,5,6,7,8
dataset,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews
lang,amh,hau,ibo,lug,pcm,sna,swa,xho,yor
accuracy,0.2978723404255319,0.2731554160125589,0.4230769230769231,0.3542600896860987,0.6721311475409836,0.3956639566395664,0.5903361344537815,0.3063973063973064,0.48175182481751827
macro_f1,0.25055818186197093,0.25893373076393644,0.3894639929330573,0.2859527022684918,0.5919939877420823,0.38291590391417096,0.5066804441064148,0.2757751504932334,0.46800485999696184
weighted_f1,0.2542445069555637,0.2683800923496707,0.4295769970331723,0.36505798242876375,0.677899505754083,0.3791889835763424,0.5911619744293962,0.35576926564978134,0.46974663549835777
