index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.5858333333333333,0.6366666666666667,0.6241666666666666,0.6025,0.6533333333333333,0.6558333333333334
macro_f1,0.5652677823627302,0.6154287175959002,0.597845366639148,0.5769323158225392,0.5805042016806723,0.641368271222843
weighted_f1,0.6041926182994274,0.6526327844078103,0.6401995106573702,0.6197473530553042,0.6524593837535013,0.6710186474991178
