index,0,1,2,3,4,5
dataset,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation
lang,btk,sun,jav,mad,mak,min
accuracy,0.5141666666666667,0.5433333333333333,0.5516666666666666,0.5333333333333333,0.5233333333333333,0.6083333333333333
macro_f1,0.4876493166094336,0.5262302451844936,0.526625136381234,0.5076648956278884,0.4924518479958355,0.5676756279434851
weighted_f1,0.5356330929034743,0.5632869361736463,0.5714458463848708,0.5539430278413547,0.5439905431199028,0.6222541781135531
