index,0,1,2,3,4,5,6,7,8
dataset,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews,masakhanews
lang,amh,hau,ibo,lug,pcm,sna,swa,xho,yor
accuracy,0.675531914893617,0.5620094191522763,0.7153846153846154,0.5291479820627802,0.8918032786885246,0.6612466124661247,0.6743697478991597,0.5252525252525253,0.683698296836983
macro_f1,0.6783018518406843,0.5214415427006229,0.6681606670647572,0.3946066623955019,0.8529663134746102,0.6627624198324762,0.5949937473883529,0.47808515759602715,0.6545407816853133
weighted_f1,0.6814525039709246,0.5238763062024837,0.7038564147563026,0.4870775288452211,0.8957722648645459,0.6541674347029985,0.6603950171257984,0.5579543257820596,0.6605644136061973
