index,0,1,2,3,4,5,6
dataset,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti
lang,arb,fra,deu,hin,ita,por,spa
accuracy,0.4011494252873563,0.34367816091954023,0.41724137931034483,0.34022988505747126,0.4,0.3689655172413793,0.46206896551724136
macro_f1,0.370567639150343,0.2696590097559358,0.33325941195867853,0.3207486763059029,0.3777966146578908,0.2862569515843698,0.4083156795922753
weighted_f1,0.37056763915034313,0.2696590097559358,0.33325941195867853,0.3207486763059029,0.3777966146578908,0.28625695158436987,0.4083156795922753
