index,0,1,2,3,4,5,6
dataset,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti
lang,arb,fra,deu,hin,ita,por,spa
accuracy,0.5183908045977011,0.5114942528735632,0.5678160919540229,0.4011494252873563,0.5160919540229885,0.5908045977011495,0.5494252873563218
macro_f1,0.5181839686906401,0.5128776014253698,0.5627198217768642,0.391095951647596,0.5117549816961687,0.5943268173181896,0.550127562725988
weighted_f1,0.51818396869064,0.5128776014253698,0.5627198217768643,0.391095951647596,0.5117549816961687,0.5943268173181896,0.550127562725988
