index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.34,0.37066666666666664,0.324,0.364,0.31066666666666665,0.3523035230352303,0.3382352941176471,0.3546666666666667,0.36,0.3546666666666667
macro_f1,0.32757273543389637,0.37024818941402854,0.31692538365702205,0.3607373048966132,0.3072060465291247,0.3444005324006272,0.3337713175111549,0.33895061085247963,0.35648994368294834,0.35370582374467957
weighted_f1,0.32757273543389637,0.3702481894140286,0.31692538365702205,0.3607373048966132,0.30720604652912475,0.34428623647420337,0.3337401008915291,0.3389506108524796,0.35648994368294834,0.35370582374467957
