index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.31466666666666665,0.3373333333333333,0.33066666666666666,0.328,0.3373333333333333,0.33604336043360433,0.35294117647058826,0.316,0.32133333333333336,0.30933333333333335
macro_f1,0.2764913189304268,0.2572595477821726,0.3036129887909644,0.2819350095028132,0.24184184901492056,0.2878388182751741,0.27962169113706997,0.2651514156461663,0.2989045920105076,0.2642463770352831
weighted_f1,0.27649131893042683,0.2572595477821725,0.3036129887909644,0.2819350095028132,0.24184184901492056,0.2875553987803507,0.2795043632947962,0.2651514156461663,0.2989045920105076,0.2642463770352831
