index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.332,0.304,0.34,0.336,0.31066666666666665,0.34688346883468835,0.3302139037433155,0.3333333333333333,0.348,0.38533333333333336
macro_f1,0.3257804428961127,0.2920241934439393,0.335369994226358,0.3197078067266847,0.3068629895125199,0.3458242943493936,0.3202176855960113,0.3284277104968993,0.34175645540495453,0.3783586712569438
weighted_f1,0.3257804428961127,0.2920241934439393,0.335369994226358,0.3197078067266847,0.3068629895125199,0.34576395725013387,0.32008297127244856,0.3284277104968993,0.3417564554049545,0.37835867125694383
