index,0,1,2,3,4,5,6
dataset,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti,tweetsentimulti
lang,arb,fra,deu,hin,ita,por,spa
accuracy,0.4379310344827586,0.4885057471264368,0.47586206896551725,0.3839080459770115,0.46551724137931033,0.46551724137931033,0.42873563218390803
macro_f1,0.43656712765781475,0.4865382633998587,0.4747374058152401,0.36567101945409086,0.4629697142083806,0.46480141978224854,0.4133640073301585
weighted_f1,0.43656712765781475,0.4865382633998586,0.47473740581524015,0.3656710194540909,0.4629697142083806,0.46480141978224854,0.41336400733015843
