index,0,1,2,3,4,5
dataset,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation
lang,btk,sun,jav,mad,mak,min
accuracy,0.7266666666666667,0.74,0.7516666666666667,0.7116666666666667,0.7008333333333333,0.7608333333333334
macro_f1,0.5729166666666667,0.5790590891306401,0.6032151115569147,0.5887740872210954,0.5670834710901598,0.6268846711785743
weighted_f1,0.67840625,0.6862084287121277,0.7031266486471291,0.6813181943035835,0.6661425894531698,0.7189161581110513
