index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli,americasnli
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.344,0.3426666666666667,0.348,0.33066666666666666,0.336,0.3617886178861789,0.32085561497326204,0.3453333333333333,0.3466666666666667,0.32666666666666666
macro_f1,0.3099942449494951,0.300299543229933,0.3242239735518169,0.2976916281191722,0.2993041311687698,0.33040408044526415,0.27960948729615204,0.330344391781374,0.3155025545178787,0.3072026128024627
weighted_f1,0.3099942449494951,0.300299543229933,0.3242239735518169,0.2976916281191722,0.29930413116876986,0.3300993250752416,0.27950606176635934,0.330344391781374,0.3155025545178786,0.3072026128024627
