index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.5991666666666666,0.6166666666666667,0.6383333333333333,0.615,0.5741666666666667,0.6558333333333334
macro_f1,0.529058909247563,0.5485932792735624,0.550685876973514,0.5293142795044555,0.5069752707736517,0.5831787915717338
weighted_f1,0.6038607065802568,0.6207569131194713,0.6323799212032324,0.6119876113888285,0.5819020192412575,0.6548182000153069
