index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.7116666666666667,0.7383333333333333,0.7275,0.7058333333333333,0.7091666666666666,0.7433333333333333
macro_f1,0.5133865576552545,0.5599693566770679,0.5441868137101729,0.5261103572183706,0.49733484244904036,0.5729320250139813
weighted_f1,0.6412591083754081,0.6752989436773233,0.6631838098037005,0.6462499380042861,0.6316672187821692,0.6839851204094429
