index,0,1,2,3,4,5
dataset,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind,nusatranslation-ind
lang,btk,sun,jav,mad,mak,min
accuracy,0.6966666666666667,0.7283333333333334,0.7275,0.6908333333333333,0.6933333333333334,0.7508333333333334
macro_f1,0.5005122950819672,0.533076159193339,0.556597644001243,0.5221283963285893,0.4967521367521367,0.5972697854687127
weighted_f1,0.6293690232240436,0.6573764736587477,0.6699208169722308,0.6390151268760557,0.6262336182336182,0.6996454840451264
