index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.34933333333333333,0.3373333333333333,0.3373333333333333,0.31466666666666665,0.31866666666666665,0.35365853658536583,0.3342245989304813,0.3413333333333333,0.33466666666666667,0.2946666666666667
macro_f1,0.3319603121045811,0.3197667857663887,0.32495125622826476,0.30234175974916716,0.31345460534972663,0.34690221114545916,0.32311977392039104,0.32886936930877586,0.3263890174505772,0.2800872974494724
weighted_f1,0.33196031210458105,0.3197667857663887,0.32495125622826476,0.30234175974916716,0.31345460534972663,0.3470195787245181,0.3232321353506826,0.32886936930877586,0.3263890174505772,0.28008729744947247
