index,0,1,2,3,4,5,6,7,8,9
dataset,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa,americasnli-spa
lang,aym,bzd,cni,gn,hch,nah,oto,quy,shp,tar
accuracy,0.35333333333333333,0.3453333333333333,0.352,0.372,0.35733333333333334,0.3319783197831978,0.34893048128342247,0.348,0.31733333333333336,0.3626666666666667
macro_f1,0.3155001054385315,0.31466062845611553,0.3287946894916592,0.35313272197185913,0.3364034763465504,0.30520289137092416,0.31891050526922055,0.32907939521685253,0.28551521785399375,0.34249905170174183
weighted_f1,0.3155001054385315,0.31466062845611553,0.3287946894916592,0.35313272197185913,0.3364034763465503,0.3051567071584065,0.3189664862965685,0.32907939521685253,0.28551521785399375,0.3424990517017419
