index,0,1,2,3,4,5
dataset,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation
lang,btk,sun,jav,mad,mak,min
accuracy,0.74,0.75,0.7666666666666667,0.7291666666666666,0.7291666666666666,0.7733333333333333
macro_f1,0.5688940474216548,0.584024699688943,0.6271819840132083,0.5774826415785248,0.5437395805913838,0.6342447333034513
weighted_f1,0.6807013762228487,0.6921932991001069,0.7210585960442825,0.681699482181504,0.6634794244099325,0.727095771701778
