index,0,1,2,3,4,5
dataset,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation,nusatranslation
lang,btk,sun,jav,mad,mak,min
accuracy,0.5266666666666666,0.5358333333333334,0.5775,0.5366666666666666,0.5508333333333333,0.5833333333333334
macro_f1,0.5079567209820075,0.5215978802577532,0.5533561060052461,0.5079283132974408,0.5157490130428826,0.5543552857919553
weighted_f1,0.5474554952051768,0.5555704107859495,0.5961055097092189,0.5568826117953634,0.5694073852518072,0.6011368396659448
